Class		CLASS
PGM1		variable
{		LB
/*		Lcomment
*/		Rcomment
VAR		VAR
A		variable
,		comma
B		variable
,		comma
F		variable
;		semi
CONST		CONST
M		variable
=		assignment
13		integer
,		comma
N		variable
=		assignment
56		integer
;		semi
GET		GET
F		variable
;		semi
A		variable
=		assignment
(		parenthesis
27		integer
+		addition
15		integer
)		parenthesis
-		subtraction
28		integer
*		multiply
18		integer
+		addition
122		integer
;		semi
B		variable
=		assignment
A		variable
+		addition
2		integer
-		subtraction
299		integer
;		semi
IF		IF
A		variable
>=		greaterthanequalto
B		variable
THEN		THEN
{		LB
GET		GET
A		variable
;		semi
}		RB
ELSE		ELSE
{		LB
M		variable
=		assignment
N		variable
;		semi
}		RB
F		variable
=		assignment
28		integer
*		multiply
(		parenthesis
90		integer
+		addition
A		variable
)		parenthesis
;		semi
PUT		PUT
F		variable
;		semi
PUT		PUT
B		variable
;		semi
}		RB
